ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
220;61045,00;GH Nest Dschungel Kaufhof;10624
221;9783,00;EX DE Lindor Pillow Box Milk Crocus;9660
222;99975,00;SM Kissen Dschungel Kaufhof;11000
223;61133,00;Kl.Geschenk Ostern;25000
224;23911,00;Hello To Go Cup;5600
225;922151,00;Z VP Hello Card Emoti 23821;10500
226;78243,00;EX CA PCW Calendar Xmas 2018-Rentgen;6250
227;78242,00;EX (CA) US PCW Calendar;6250
228;78244,00;EX CA Calendar Montreal;6250
229;78249,00;EX UK Children Calendar-Rentgen;6250
230;922311,00;Z VP Kinder Kalender 71959;6250
231;71889,00;Santa im Mini-Schornstein;12100
232;85944,00;HELLO Emoti Kalender PW;6500
233;71333,00;Santa im Tannenzweig;9600
234;922216,00;Z VP HAND-CRA.KL.TASCHE 71317;8520
235;76322,00;EX DE Hand Crafted Pr.Bag Small;8520
236;922155,00;Z VP HELLO CARD EMOTI 71013;10500
237;71345,00;Hand-crafted Tasche;8760
238;922227,00;Z VP HAND-CRAFTED TASCHE 74345;8760
239;76328,00;EX DE Hello Xmas Card Emoti;10500
240;71883,00;Weihnachts -Zauber PrÑsent;8808
241;71013,00;Hello Xmas Emoti Messages;10500
242;71337,00;Teddy Haus;5400
243;76299,00;EX DE Xmas Magic Present;8808
244;71957,00;EDEKA AK mit Gutschein-Rentgen;7700
245;72912,00;EX SE,FI,DK,NO,UK,PL Calendar;10780
246;922217,00;Z  VP HAND-CRA.KL.KISSEN 71319;10080
247;922282,00;Z VP Kalend. Edelbitter 71873;7075
248;70913,10;Hello Tower AK EV;4184
249;76302,00;EX DE Calendar Dark Chocolate;7075
250;71873,00;Kalender Edelbitter;7075
251;76298,00;EX DE Teddy in the House;5400
252;76323,00;EX DE Hand Crafted Pillow Praline;10080
253;71349,00;Santa im Schornstein;8400
254;71317,00;Hand-crafted kl.Tasche;8520
255;71959,00;Kinder Kalender;6250
256;76318,00;EX DE Hand Crafted Pr.Bag;8760
257;71967,00;Weihnachtskugel Silber AK;8400
258;76317,00;EX DE Hand Crafted Pralines;8400
259;71969,10;Weihnachtskugel Silber EV;8400
260;71969,20;Weihnachtskugel Silber EV;6000
261;922215,00;Z VP Hand-Crafted Pral.71315;8400
262;71953,00;Netto MD AK mit Gutschein;7700
263;71949,00;Santa Tanne 150 g;8400
264;70909,20;Hello Tanne AK EV;3500
265;70909,10;Hello Tanne AK EV+RENTGEN;5000
266;10193,00;Fioretto Tasche;7800
267;10185,10;Lindor Milch Multip. 3+1;27600
268;10185,20;Lindor Milch Multip. 3+1;27600
269;71315,00;Hand-crafted Pralinen;8400
270;71933,00;Wunderbox Cl. Xmas;7200
271;71935,00;Wunderbox gr. Petrol;7200
272;922307,00;Z VP Santa Schornstein 71889;12100
273;71319,00;Hand-crafted kl.Kissen;10080
274;71309,00;Dunkle Kassette;10000
275;922213,00;Z VP Dunkle Kassette 71309;10000
276;922235,00;Z VP Hand Craf.Rîhrchen 71379;7320
277;71923,00;Mini-Kissenpackung Petrol;9000
278;76319,00;EX DE Hand Crafted Tube;7320
279;71379,00;Hand-crafted Rîhrchen;7320
280;922205,00;Z VP Lindor Kissen 70% 13821;9660
281;71893,00;Bonbon klein Cl.Xmas;7440
282;71919,00;Mini-Kissenpackung Xmas;9000
283;37039,00;EX ID (Duty Free) Mini Pralines;6840
284;71979,10;AK Thomas Sabo EH EV;7704
285;71899,00;Kissenpackung gr. Petrol;8784
286;72919,00;EX ES Teddy Calendar Ikea;9780
287;71983,00;AK Thomas Sabo EH;7704
288;738573,10;Z VP Williams Flasch. 78521;27624
289;738573,20;Z VP Williams Flasch. 78521;27624
290;71979,20;AK Thomas Sabo EH EV;5208
291;71985,00;AK Thomas Sabo GH;7704
292;71895,00;Grusskarte Kugel Cl.Xmas;9000
293;71909,00;Kleines Geschenk Petrol;15930
294;71963,00;Weihnachtspost;7500
295;71903,00;Kissenpackung kl.Petrol;11760
296;738573,00;Z VP Williams Flasch. 78521;27624
297;71995,00;Gutschein Kaufhof AK;6720
298;922231,10;Z VP Marille FlÑschchen 71355;27624
299;922231,20;Z VP Marille FlÑschchen 71355;27624
300;76314,10;EX DE Marille Bottle;27624
301;76314,20;EX DE Marille Bottle;27624
302;71355,10;Marille-FlÑschchen;27624
303;71355,20;Marille-Flaschchen;27624
304;922231,00;Z VP Marille FlÑschchen 71355;27624
305;76314,00;EX DE Marille Bottle;27624
306;71355,00;Marille-FlÑschchen;27624
307;737212,10;Z VP Eierlikîr Flasch 78561;27624
308;737212,20;Z VP Eierlikîr Flasch 78561;27624
309;737212,00;Z VP Eierlikîr Flasch 78561;27624
310;71965,00;Grusskarte Herz Silber;12720
311;13821,00;Lindor Kissen 70%;9660
312;72283,00;Xmas Mix DEP;6270
313;8653,00;EX FR,DE,UK,NL Lindor M;6282
314;922209,10;Z VP Lindt .W.Gift Dark 70% 13881;13632
315;13901,10;Lindor Winter Gift Mix;13632
316;922211,10;Z VP LIND.W.GIFT MIX 13901;13632
317;922208,10;Z VP LIND.W.GIFT DARK 60% 13871;13632
318;922210,10;Z VP LIND.W.GIFT MILK 13891;13632
319;68112,00;EX DE Gold Bunny Mini Nest;12320
320;922211,00; Z VP LIND.W.GIFT MIX 13901;13632
321;13901,00;Lindor Winter Gift Mix;13632
322;922210,00;Z VP LIND.W.GIFT MILK 13891;13632
323;922208,00;Z VP LIND.W.GIFT DARK 60% 13871;13632
324;922209,00;Z VP LIND.W.GIFT DARK 70% 13881;13632
325;13891,10;Lindor Winter Gift Milk;13632
326;13891,00;Lindor Winter Gift Milk;13632
327;70899,20;GoldstÅcke AK EV;6000
328;49993,00;Lindor Beutel Wei· 1 KG;6282
329;71519,00;Hello Emotis o.P.;180000
330;13881,10;Lindor Winter Gift Dark 70%;13632
331;13871,10;Lindor Winter Gift Dark 60%;13632
332;80534,00;PW Lindor Haselnuss;6282
333;13871,00;Lindor Winter Gift Dark 60%;13632
334;13881,00;Lindor Winter Gift Dark 70%;13632
335;49995,00;Lindor Dark 70%;6282
336;72469,00;Teddy Kalender X-Mas;10780
337;72477,00;Teddy Kalender Schlitten;10780
338;68109,00;EX DE Lindor Edition Egg Mix;9760
339;80564,00;PW Lindor Caramel;6282
340;72349,00;Santa Lindor Geschenk;11200
341;60919,00;Goldhase Mini Nest;12320
342;922342,00;Z VP Lindor Milch PrÑs 10237;12000
343;62168,00;EX UK Double Milk Eggs Counter;75600
344;922343,00;Z VP Lindor Misch PrÑs 10239;12000
345;81814,00;PW Mini Stick Mix 1;8800
346;76343,00;EX DE B/B Santa Lindor Geschenk;9000
347;91459,00;AK Hello Mini Emotis Xmas;7200
348;87801,00;PW Fioretto Nougat 1;8800
349;10237,00;Lindor Milch PrÑsent Edel;12000
350;87811,00;PW Fioretto Marzipan 1;8800
351;10239,00;Lindor Misch PrÑsent Edel;12000
352;10253,00;Lindor 3er Stange;11600
353;39025,00;EX DE Mini Pr.Wrapper (Pink);7200
354;39023,00;EX DE Mini Pr.Wrapper (Turquoise);8000
355;922265,00;Z VP GH Blumen Im Kranz 60923;8400
356;60923,00;Goldhase Blumen im Kranz;8400
357;68113,00;EX DE GB Flower Floral Wreath;8400
358;68106,00;EX DE Egg Brand Box (15);14312
359;68106,10;EX DE Egg Brand Box (18);14312
360;922296,10;Z VP Cognac Eier 67161;33195
361;922296,20;Z VP Cognac Eier 67161;33195
362;922259,00;Z VP Eierlikîr Eier Kass. 60865 (16 );14312
363;922296,00;Z VP Cognac Eier 67161;33195
364;922259,10;Z VP Eierlikîr Eier Kass. 60865 (19);14312
365;72533,00;Santa Tanne VOLKSWAGEN FS;8400
366;72523,00;Santa Tanne Audi FS;8400
367;72519,00;Santa Tanne Volkswagen FS;8400
368;72527,00;Santa Tanne Skoda FS;8400
369;72537,00;Santa Tanne Auto Europa FS;8400
370;72525,00;Santa Tanne Seat FS;8400
371;72529,00;Santa Tanne Ducati FS;8400
372;60873,00;Lindor Edittion Ei Mix;9760
373;61227,00;Goldhase Korb 150 g;8040
374;13441,00;Lindor Mini-Kissen;8900
375;39012,00;EX DE Lindor Milk Heart;8000
376;922124,00;Z VP Lindor Mini Kissen 13441;8900
377;922339,00;Z VP Lindor Herz Milch 10229;8000
378;10229,00;Lindor Herzpackung Milch;8000
379;10233,00;Lindor Herzpackung Milch;8001
380;922340,00;Z VP Lindor Herz Milch 10233;8001
381;68108,00;EX DE Lindor Edition Tube Mix;8352
382;60869,00;Lindor Edition Rîhrchen Mix;8352
383;61249,00;Mini Kissen FrÅhlingsgr.;9000
384;10235,00;Lindor Valentinskalender;5920
385;90159,00;Lindor Beutel 1KG Nuss;6282
386;60865,00;Eierlikîr Eier Kassette (16);14312
387;60865,10;Eierlikîr Eier Kassette (19);14312
388;922261,00;Z VP Lindor Ed. Rîhrchen 60869;8352
389;10033,10;Lindor Milch Multipack;27600
390;10033,20;Lindor Milch Multipack;27600
391;10033,00;Lindor Milch Multipack;27600
392;13983,00;EX US Lindor Multipack Milk;27576
393;13983,10;EX US Lindor Multipack Milk;27576
394;13983,20;EX US Lindor Multipack Milk;27576
395;922262,00;Z VP Lindor Ed. Ei Mix 60873;9760
396;922201,00;Z VP GH NEST LINDOR DARK 60855;10624
397;68105,00;EX DE GB Nest Lindor Dark;10624
398;61681,00;Nougat-Eier C+C;9000
399;922361,00;Z VP LINDOR 3ER STANGE 10253;11600
400;920375,10;Z VP KIRSCHWASSER EI 67171;33195
401;920375,20;Z VP KIRSCHWASSER EI 67171;33195
402;61191,00;Lindor Eier Mischung C+C;9000
403;920375,00;Z VP Kirschwasser Ei 67171;33195
404;922293,00;Z VP Hello To Go Cup 61043;7650
405;61181,00;Spez.Eier Mischung C+C;9000
406;61043,00;Hello To Go Cup;7650
407;60855,00;GH Nest mit Lindor Dark;10624
408;61245,00;Box gro· FrÅhlingsgrÅ·e;8004
409;61239,00;Box klein FrÅhlingsgrÅ·e;8040
410;61243,00;Box mittel FrÅhlingsgrÅ·e;8000
411;61237,00;Kissen gro· FrÅhlingsgrÅ·e;6000
412;61581,00;Lindor-Ei, Vollmilch C+C;9000
413;61035,10;Dunkle SpezialitÑten (17);10000
414;922280,10;Z VP Dunkle Spezial. 61035 (17);10000
415;68115,10;EX DE Dark SpezalitÑten (16);10000
416;921204,10;"Z VP Lindor Mischkass 68851 (23; Box)";11340
417;68851,00;Lindor Mischkassette (20);11340
418;86094,00;PW Lindor 70%-Nawaæarka Lindor;5520
419;38771,30;Lindor PrÑsent Milch-z kokard•;13632
420;38771,20;Lindor PrÑsent Milch-z kokard•;13632
421;86054,00;PW HELLO Doorhanger;11144
422;86074,00;PW HELLO Emoti Egg Stange;9240
423;10091,20;Lindor PrÑsent Mischung-z kokard•;13632
424;10091,30;Lindor PrÑsent Mischung-z kokard•;13632
425;10373,10;Lindor PrÑsent Krokus VD3;13632
426;10373,00;Lindor PrÑsent Krokus VD3;13632
427;85471,00;Hochfein Geschenkpapier;7254
428;921134,10;Z VP Lindor Geschenk Milch (5831);13632
429;5831,10;Lindor Geschenk Milch;13632
430;38911,00;Lindor PrÑsent 60%;13632
431;38917,10;SE Lindor Pr. Dark 60%;13632
432;738616,10;Z VP Lindor PrÑsent 38911;13632
433;921135,00;Z VP Lindor Geschenk Dark 60% (5841);13632
434;5841,10;Lindor Geschenk Dark 60%;13632
435;41627,10;EX DE Lindor Pr.-Box Dark 60%;13632
436;10185,00;Lindor Milch Multip. 3+1;27600
437;78245,00;EX CA Tor.maple leafs Adv.Cal.;6250
438;76382,00;EX DE Teddy Calendar;11104
439;76354,00;EX DE Lindor Mini Adv.Calendar;7000
440;922401,00;Z VP Mini AK Lindor 72313;7000
441;922401,10;Z VP Mini AK Lindor 72313;10000
442;72313,00;Mini Adventskal. Lindor;7000
